,商品名,ファンド名,分配金,保有数量［口］,平均取得価額［円］,基準価額［円］,評価額［円］,評価損益［円］,評価損益率［％］,取得日時
1,投資信託（つみたてNISA）,eMAXIS Slim 米国株式(S&P500),再投資型,"7,078","18,366.77","18,135","12,836",-164,-1.26,2022-05-18 21:39:24
1,投資信託（つみたてNISA）,eMAXIS Slim 米国株式(S&P500),再投資型,"4,953","18,170.81","19,472","9,644",644,7.16,2022-04-09 15:29:03
1,投資信託（つみたてNISA）,eMAXIS Slim 米国株式(S&P500),再投資型,"5,976","18,406.96","18,851","11,265",265,2.41,2022-04-29 19:14:00
1,投資信託（つみたてNISA）,eMAXIS Slim 米国株式(S&P500),再投資型,"5,976","18,406.96","19,366","11,573",573,5.21,2022-04-13 21:01:12
1,投資信託（つみたてNISA）,eMAXIS Slim 米国株式(S&P500),再投資型,"5,976","18,406.96","19,309","11,539",539,4.9,2022-04-13 21:49:23
1,投資信託（つみたてNISA）,eMAXIS Slim 米国株式(S&P500),再投資型,"5,976","18,406.96","18,851","11,265",265,2.41,2022-04-28 23:34:51
1,投資信託（つみたてNISA）,eMAXIS Slim 米国株式(S&P500),再投資型,"5,976","18,406.96","19,309","11,539",539,4.9,2022-04-13 21:50:48
1,投資信託（つみたてNISA）,eMAXIS Slim 米国株式(S&P500),再投資型,"5,976","18,406.96","19,309","11,539",539,4.9,2022-04-13 22:05:30
1,投資信託（つみたてNISA）,eMAXIS Slim 米国株式(S&P500),再投資型,"5,976","18,406.96","20,191","12,066","1,066",9.69,2022-04-20 23:03:38
1,投資信託（つみたてNISA）,eMAXIS Slim 米国株式(S&P500),再投資型,"5,976","18,406.96","19,406","11,597",597,5.42,2022-04-16 21:26:32
1,投資信託（つみたてNISA）,eMAXIS Slim 米国株式(S&P500),再投資型,"5,976","18,406.96","19,406","11,597",597,5.42,2022-04-17 08:15:40
0,投資信託（つみたてNISA）,楽天・全米株式インデックス・ファンド（楽天・バンガード・ファンド（全米株式））,再投資型,"10,015","18,971.54","19,483","19,512",512,2.69,2022-04-29 19:14:00
0,投資信託（つみたてNISA）,楽天・全米株式インデックス・ファンド（楽天・バンガード・ファンド（全米株式））,再投資型,"10,015","18,971.54","19,483","19,512",512,2.69,2022-04-28 23:34:51
0,投資信託（つみたてNISA）,楽天・全米株式インデックス・ファンド（楽天・バンガード・ファンド（全米株式））,再投資型,"10,015","18,971.54","20,923","20,954","1,954",10.28,2022-04-20 23:03:38
0,投資信託（つみたてNISA）,楽天・全米株式インデックス・ファンド（楽天・バンガード・ファンド（全米株式））,再投資型,"9,025","18,836.57","20,129","18,166","1,166",6.86,2022-04-09 15:29:03
0,投資信託（つみたてNISA）,楽天・全米株式インデックス・ファンド（楽天・バンガード・ファンド（全米株式））,再投資型,"11,089","18,937.69","18,638","20,668",-332,-1.58,2022-05-18 21:39:24
0,投資信託（つみたてNISA）,楽天・全米株式インデックス・ファンド（楽天・バンガード・ファンド（全米株式））,再投資型,"10,015","18,971.54","19,981","20,011","1,011",5.32,2022-04-13 22:05:30
0,投資信託（つみたてNISA）,楽天・全米株式インデックス・ファンド（楽天・バンガード・ファンド（全米株式））,再投資型,"10,015","18,971.54","19,981","20,011","1,011",5.32,2022-04-13 21:50:48
0,投資信託（つみたてNISA）,楽天・全米株式インデックス・ファンド（楽天・バンガード・ファンド（全米株式））,再投資型,"10,015","18,971.54","19,981","20,011","1,011",5.32,2022-04-13 21:49:23
0,投資信託（つみたてNISA）,楽天・全米株式インデックス・ファンド（楽天・バンガード・ファンド（全米株式））,再投資型,"10,015","18,971.54","20,034","20,064","1,064",5.6,2022-04-13 21:01:12
0,投資信託（つみたてNISA）,楽天・全米株式インデックス・ファンド（楽天・バンガード・ファンド（全米株式））,再投資型,"10,015","18,971.54","20,114","20,144","1,144",6.02,2022-04-17 08:15:40
0,投資信託（つみたてNISA）,楽天・全米株式インデックス・ファンド（楽天・バンガード・ファンド（全米株式））,再投資型,"10,015","18,971.54","20,114","20,144","1,144",6.02,2022-04-16 21:26:32
